acquisition_execution_index,acquisition_session_index,execution_id,session_id,pair_order,contact_region_id,command_profile_id,realization_condition_id,replicate_block
0,0,sloth-v1-c1-s6-e1,sloth-v1-c1-s6,0,left_forepaw,lateral_low,slip_low_force,0
1,0,sloth-v1-c1-s6-e2,sloth-v1-c1-s6,1,left_forepaw,lower_high,slip_low_force,0
2,1,sloth-v1-c2-s1-e1,sloth-v1-c2-s1,0,right_forepaw,lift_low,nominal,1
3,1,sloth-v1-c2-s1-e2,sloth-v1-c2-s1,1,right_forepaw,lower_high,nominal,1
4,2,sloth-v1-c3-s6-e1,sloth-v1-c3-s6,0,upper_torso,lift_high,slip_low_force,1
5,2,sloth-v1-c3-s6-e2,sloth-v1-c3-s6,1,upper_torso,lateral_low,slip_low_force,1
6,3,sloth-v1-c2-s2-e1,sloth-v1-c2-s2,0,right_forepaw,lateral_low,gain_low,2
7,3,sloth-v1-c2-s2-e2,sloth-v1-c2-s2,1,right_forepaw,lift_low,gain_low,2
8,4,sloth-v1-c3-s4-e1,sloth-v1-c3-s4,0,upper_torso,lift_low,delay_2_frames,2
9,4,sloth-v1-c3-s4-e2,sloth-v1-c3-s4,1,upper_torso,lateral_low,delay_2_frames,2
10,5,sloth-v1-c1-s3-e1,sloth-v1-c1-s3,0,left_forepaw,lift_low,gain_high,2
11,5,sloth-v1-c1-s3-e2,sloth-v1-c1-s3,1,left_forepaw,lateral_low,gain_high,2
12,6,sloth-v1-c3-s3-e1,sloth-v1-c3-s3,0,upper_torso,lower_high,gain_high,1
13,6,sloth-v1-c3-s3-e2,sloth-v1-c3-s3,1,upper_torso,lift_low,gain_high,1
14,7,sloth-v1-c1-s2-e1,sloth-v1-c1-s2,0,left_forepaw,lower_high,gain_low,1
15,7,sloth-v1-c1-s2-e2,sloth-v1-c1-s2,1,left_forepaw,lift_low,gain_low,1
16,8,sloth-v1-c2-s4-e1,sloth-v1-c2-s4,0,right_forepaw,lateral_low,delay_2_frames,1
17,8,sloth-v1-c2-s4-e2,sloth-v1-c2-s4,1,right_forepaw,lift_high,delay_2_frames,1
18,9,sloth-v1-c1-s1-e1,sloth-v1-c1-s1,0,left_forepaw,lift_low,nominal,0
19,9,sloth-v1-c1-s1-e2,sloth-v1-c1-s1,1,left_forepaw,lift_high,nominal,0
20,10,sloth-v1-c2-s6-e1,sloth-v1-c2-s6,0,right_forepaw,lift_high,slip_low_force,0
21,10,sloth-v1-c2-s6-e2,sloth-v1-c2-s6,1,right_forepaw,lift_low,slip_low_force,0
22,11,sloth-v1-c3-s5-e1,sloth-v1-c3-s5,0,upper_torso,lift_low,frame_pitch_pos_3deg,0
23,11,sloth-v1-c3-s5-e2,sloth-v1-c3-s5,1,upper_torso,lift_high,frame_pitch_pos_3deg,0
24,12,sloth-v1-c2-s3-e1,sloth-v1-c2-s3,0,right_forepaw,lift_high,gain_high,2
25,12,sloth-v1-c2-s3-e2,sloth-v1-c2-s3,1,right_forepaw,lower_high,gain_high,2
26,13,sloth-v1-c3-s2-e1,sloth-v1-c3-s2,0,upper_torso,lower_high,gain_low,2
27,13,sloth-v1-c3-s2-e2,sloth-v1-c3-s2,1,upper_torso,lift_high,gain_low,2
28,14,sloth-v1-c1-s5-e1,sloth-v1-c1-s5,0,left_forepaw,lift_high,frame_pitch_pos_3deg,1
29,14,sloth-v1-c1-s5-e2,sloth-v1-c1-s5,1,left_forepaw,lateral_low,frame_pitch_pos_3deg,1
30,15,sloth-v1-c3-s1-e1,sloth-v1-c3-s1,0,upper_torso,lateral_low,nominal,0
31,15,sloth-v1-c3-s1-e2,sloth-v1-c3-s1,1,upper_torso,lower_high,nominal,0
32,16,sloth-v1-c1-s4-e1,sloth-v1-c1-s4,0,left_forepaw,lower_high,delay_2_frames,2
33,16,sloth-v1-c1-s4-e2,sloth-v1-c1-s4,1,left_forepaw,lift_high,delay_2_frames,2
34,17,sloth-v1-c2-s5-e1,sloth-v1-c2-s5,0,right_forepaw,lower_high,frame_pitch_pos_3deg,0
35,17,sloth-v1-c2-s5-e2,sloth-v1-c2-s5,1,right_forepaw,lateral_low,frame_pitch_pos_3deg,0
