cohort,object_id,target_episode_id,target_action,action_family,persistence_active_rmse,ensemble_active_rmse,relative_change_vs_persistence,shuffled_action_active_rmse,relative_change_vs_shuffled,guard_accepts
development,001-rope,9,lift middle,lift,0.6286518526949186,0.5459865137943971,-0.13149621455206076,0.6047190992402675,-0.09712374806692631,True
development,002-rope-silk,9,fold,shape,0.4087098990481448,0.3518847531925511,-0.13903540381071097,0.3920234627638589,-0.1023885389112181,True
development,003-cable,9,fold,shape,0.8627964576442765,0.8266173322862996,-0.04193239904665115,0.848072213628017,-0.025298413268292668,True
development,072-cotton-clohesline,9,fold,shape,0.39506311424962637,0.366042964350268,-0.0734569967496929,0.38366551274559946,-0.045932062721041576,True
development,081-stripe-rope,9,push middle,translate,0.5508203486211419,0.49986634508503924,-0.09250566661826287,0.5431749839942196,-0.07973238861390795,False
development,008-pink-cloth,9,fold two corners,shape,0.9490466992385166,0.9144035800017349,-0.03650307120247943,0.9235840230199811,-0.009940019304608036,True
development,026-sock-cloth,9,lift top bottom,lift,1.2427284264579754,1.1917848364529369,-0.04099334087837516,1.2178691421434813,-0.02141798719412118,True
development,031-cotton-cloth,9,fold,shape,0.4145315226179489,0.36473682311437045,-0.12012282971655093,0.4050004187350401,-0.09941618269538376,True
development,036-napkin-cloth,9,fold,shape,0.4266635406801371,0.4028243495000027,-0.05587351368746623,0.41882100093002694,-0.03819448259400166,True
development,038-mat-cloth,9,fold,shape,0.43990741492999264,0.4223164826868804,-0.03998780572023706,0.44271726655025395,-0.04608084076399543,True
development,038-black-bag-cloth,3,drag,translate,0.717972984808044,0.7031736145969908,-0.020612711793062642,0.7059778534785528,-0.003972134349179263,True
development,053-squeezer,9,squeeze,compress,1.0271315405846055,1.013949298503775,-0.01283403494096547,1.0241394263945127,-0.009949941998241478,True
development,058-roll-napkin,9,squeeze,compress,0.3818890853519675,0.33470153066933334,-0.12356350703017303,0.3633889356682254,-0.07894407942316574,True
development,063-flower,9,wave flower and leaf,dynamic,0.6683672228656705,0.6520995742213744,-0.024339387222711818,0.6552103295812872,-0.004747720265492026,True
reserved_confirmation,066-glove-half-black-cloth,5,lift thumb and pinky,lift,1.1104971103316355,1.1055686786274954,-0.0044380409982951,1.1081602783799342,-0.002338650647384331,False
reserved_confirmation,075-leather,9,fold,shape,1.2259071534481596,1.224123428373077,-0.001455024607748925,1.224260693240024,-0.00011212061916616793,False
reserved_confirmation,080-wool,8,drag opposite directions,translate,0.5544353722263873,0.46446646548270076,-0.16227122447546577,0.5274904776989435,-0.11947895721486877,True
reserved_confirmation,091-net-cloth,9,fold,shape,0.42724107927328264,0.3875552405662395,-0.09288863040638999,0.41229542485451515,-0.06000596367763621,True
