frame,track_id,source,observed_x,observed_y,observed_z,predicted_x,predicted_y,predicted_z,variance,confidence,occluded,boundary_distance,flow_inconsistency,is_corrupted
0,0,track,0.002,-0.003,0.001,0.000,0.000,0.000,0.0001,0.98,false,0.080,0.002,false
0,1,track,0.102,0.001,-0.001,0.100,0.000,0.000,0.0001,0.96,false,0.070,0.003,false
0,2,depth,0.201,0.098,0.001,0.200,0.100,0.000,0.0001,0.92,false,0.050,0.006,false
0,3,mask,0.302,0.201,0.000,0.300,0.200,0.000,0.0001,0.75,false,0.006,0.005,false
1,0,track,0.011,0.001,0.000,0.010,0.000,0.000,0.0001,0.97,false,0.080,0.002,false
1,1,track,0.111,0.049,-0.002,0.110,0.050,0.000,0.0001,0.94,false,0.060,0.004,false
1,2,depth,0.208,0.150,0.002,0.210,0.150,0.000,0.0001,0.88,false,0.040,0.008,false
1,3,mask,0.390,0.100,0.080,0.310,0.250,0.000,0.0001,0.20,true,0.002,0.180,true
2,0,track,0.021,0.101,-0.001,0.020,0.100,0.000,0.0001,0.96,false,0.080,0.003,false
2,1,track,0.180,0.080,0.040,0.120,0.100,0.000,0.0001,0.30,false,0.030,0.140,true
2,2,depth,0.219,0.198,0.001,0.220,0.200,0.000,0.0001,0.90,false,0.050,0.007,false
2,3,mask,0.321,0.299,-0.001,0.320,0.300,0.000,0.0001,0.72,false,0.007,0.006,false
