seed,object,training_episode_count,parameter_particle_count,hybrid_residual_scale,hybrid_validation_rmse_m,posterior_effective_sample_size,posterior_normalized_entropy,posterior_max_abs_parameter_correlation,posterior_particles_above_uniform
0,rope,8,125,0.0,0.00366744191882084,7.603906083412763,0.46536498202612975,0.548167734347417,10
0,cloth,8,125,0.0,0.001984603121748862,39.8347426811889,0.8113547048586066,0.32546632796918423,40
0,soft_block,8,125,0.25,0.002249078278964566,24.22463931174506,0.7245072912032696,0.5643501275066971,31
1,rope,8,125,0.0,0.0037638556771574156,7.308134269715328,0.45866249126205794,0.528195413598827,9
1,cloth,8,125,0.0,0.001908549458567778,39.10435729162592,0.810676123647673,0.3285948195070896,42
1,soft_block,8,125,0.0,0.002167110686190694,25.95952238006228,0.7299288610025729,0.5615711448965846,30
2,rope,8,125,0.0,0.003796930583053133,7.63842292188886,0.46627984239603737,0.5550893032303976,10
2,cloth,8,125,0.0,0.002033237983152515,38.89309594234576,0.8097016940599665,0.33405463824240844,41
2,soft_block,8,125,0.25,0.0021657323372730533,25.28911460901142,0.7260438084613777,0.5710719827226989,30
3,rope,8,125,0.0,0.0037028366661001825,7.8401660789825325,0.4749552308401529,0.6125821786797438,11
3,cloth,8,125,0.0,0.0019689106139529518,38.914436680978326,0.810474663099337,0.3308740072912183,42
3,soft_block,8,125,0.0,0.002175173919643055,25.573792599310057,0.7292016086593894,0.5620541390822279,30
4,rope,8,125,0.0,0.003781767775597695,7.834995607787706,0.4748015137267956,0.60906604548418,11
4,cloth,8,125,0.0,0.001989030868081527,39.68897982018075,0.8116026100808907,0.32821454558297775,42
4,soft_block,8,125,0.0,0.0020998567510139552,24.03305935395464,0.7249207526267614,0.5557430927054691,32
