seed,held_out_object,source_objects,source_excludes_target,contact_hypothesis_count,likelihood_scale_m,likelihood_power,dynamic_likelihood_weight,posterior_temperature,matched_pre_variance_multiplier,shifted_pre_variance_multiplier,matched_online_variance_multiplier,shifted_online_variance_multiplier,source_calibration_rmse_m,prior
0,rope,cloth;soft_block,True,72,0.0015,1.0,4.0,1.0,0.5153033968895094,0.08758374349681934,0.24111126672121355,0.05743491774985175,0.0012769574125377238,"{""delay"": {""0"": 0.4653465346534653, ""1"": 0.0693069306930693, ""2"": 0.4653465346534653}, ""gain"": {""0.7"": 0.3899229211352445, ""0.85"": 0.2092338804002252, ""1.0"": 0.4008431984645303}, ""rotation_deg"": {""0.0"": 0.17005974431688597, ""8.0"": 0.829940255683114}, ""shift_probability"": 0.5, ""slip"": {""0.0"": 0.8921708498628403, ""0.2"": 0.10782915013715964}, ""source_action_split"": ""test"", ""source_condition_count"": 4, ""source_objects"": [""cloth"", ""soft_block""]}"
0,cloth,rope;soft_block,True,144,0.0015,1.0,0.0,3.0,0.722205856097534,0.1227500009395629,0.854987973338348,0.06799469086438521,0.0013016491058597372,"{""delay"": {""0"": 0.4653465346534653, ""1"": 0.0693069306930693, ""2"": 0.4653465346534653}, ""gain"": {""0.7"": 0.3899229211352445, ""0.85"": 0.2092338804002252, ""1.0"": 0.4008431984645303}, ""rotation_deg"": {""0.0"": 0.17005974431688597, ""8.0"": 0.829940255683114}, ""shift_probability"": 0.5, ""slip"": {""0.0"": 0.8921708498628403, ""0.2"": 0.10782915013715964}, ""source_action_split"": ""test"", ""source_condition_count"": 4, ""source_objects"": [""rope"", ""soft_block""]}"
0,soft_block,rope;cloth,True,144,0.0015,1.0,0.0,3.0,0.6637606548756319,0.10368656902668262,0.9302710498163125,0.07398173357383078,0.0020219374060232356,"{""delay"": {""0"": 0.4653465346534653, ""1"": 0.0693069306930693, ""2"": 0.4653465346534653}, ""gain"": {""0.7"": 0.3899229211352445, ""0.85"": 0.2092338804002252, ""1.0"": 0.4008431984645303}, ""rotation_deg"": {""0.0"": 0.17005974431688597, ""8.0"": 0.829940255683114}, ""shift_probability"": 0.5, ""slip"": {""0.0"": 0.8921708498628403, ""0.2"": 0.10782915013715964}, ""source_action_split"": ""test"", ""source_condition_count"": 4, ""source_objects"": [""rope"", ""cloth""]}"
1,rope,cloth;soft_block,True,72,0.0015,1.0,4.0,3.0,0.47360197551877253,0.09529563403272065,0.1720360666156029,0.02270029508375408,0.0011552233455580114,"{""delay"": {""0"": 0.4653465346534653, ""1"": 0.0693069306930693, ""2"": 0.4653465346534653}, ""gain"": {""0.7"": 0.3899229211352445, ""0.85"": 0.2092338804002252, ""1.0"": 0.4008431984645303}, ""rotation_deg"": {""0.0"": 0.17005974431688597, ""8.0"": 0.829940255683114}, ""shift_probability"": 0.5, ""slip"": {""0.0"": 0.8921708498628403, ""0.2"": 0.10782915013715964}, ""source_action_split"": ""test"", ""source_condition_count"": 4, ""source_objects"": [""cloth"", ""soft_block""]}"
1,cloth,rope;soft_block,True,144,0.0015,1.0,4.0,3.0,0.6637606548756319,0.1227500009395629,0.9302710498163125,0.04458897646187482,0.0013225407839294499,"{""delay"": {""0"": 0.4653465346534653, ""1"": 0.0693069306930693, ""2"": 0.4653465346534653}, ""gain"": {""0.7"": 0.3899229211352445, ""0.85"": 0.2092338804002252, ""1.0"": 0.4008431984645303}, ""rotation_deg"": {""0.0"": 0.17005974431688597, ""8.0"": 0.829940255683114}, ""shift_probability"": 0.5, ""slip"": {""0.0"": 0.8921708498628403, ""0.2"": 0.10782915013715964}, ""source_action_split"": ""test"", ""source_condition_count"": 4, ""source_objects"": [""rope"", ""soft_block""]}"
1,soft_block,rope;cloth,True,144,0.0015,1.0,0.0,3.0,0.6637606548756319,0.10368656902668262,0.854987973338348,0.03461616904505375,0.0014749866040869384,"{""delay"": {""0"": 0.4653465346534653, ""1"": 0.0693069306930693, ""2"": 0.4653465346534653}, ""gain"": {""0.7"": 0.3899229211352445, ""0.85"": 0.2092338804002252, ""1.0"": 0.4008431984645303}, ""rotation_deg"": {""0.0"": 0.17005974431688597, ""8.0"": 0.829940255683114}, ""shift_probability"": 0.5, ""slip"": {""0.0"": 0.8921708498628403, ""0.2"": 0.10782915013715964}, ""source_action_split"": ""test"", ""source_condition_count"": 4, ""source_objects"": [""rope"", ""cloth""]}"
2,rope,cloth;soft_block,True,72,0.0015,1.0,0.0,1.0,0.47360197551877253,0.09529563403272065,0.3379212515350291,0.05278694197298388,0.0016025509424542714,"{""delay"": {""0"": 0.4653465346534653, ""1"": 0.0693069306930693, ""2"": 0.4653465346534653}, ""gain"": {""0.7"": 0.3899229211352445, ""0.85"": 0.2092338804002252, ""1.0"": 0.4008431984645303}, ""rotation_deg"": {""0.0"": 0.17005974431688597, ""8.0"": 0.829940255683114}, ""shift_probability"": 0.5, ""slip"": {""0.0"": 0.8921708498628403, ""0.2"": 0.10782915013715964}, ""source_action_split"": ""test"", ""source_condition_count"": 4, ""source_objects"": [""cloth"", ""soft_block""]}"
2,cloth,rope;soft_block,True,144,0.0015,1.0,4.0,3.0,0.6637606548756319,0.13355833742682507,0.854987973338348,0.10368656902668262,0.0013091810922480906,"{""delay"": {""0"": 0.4653465346534653, ""1"": 0.0693069306930693, ""2"": 0.4653465346534653}, ""gain"": {""0.7"": 0.3899229211352445, ""0.85"": 0.2092338804002252, ""1.0"": 0.4008431984645303}, ""rotation_deg"": {""0.0"": 0.17005974431688597, ""8.0"": 0.829940255683114}, ""shift_probability"": 0.5, ""slip"": {""0.0"": 0.8921708498628403, ""0.2"": 0.10782915013715964}, ""source_action_split"": ""test"", ""source_condition_count"": 4, ""source_objects"": [""rope"", ""soft_block""]}"
2,soft_block,rope;cloth,True,144,0.0015,1.0,4.0,3.0,0.6637606548756319,0.10368656902668262,0.854987973338348,0.08758374349681934,0.0012779973868569851,"{""delay"": {""0"": 0.4653465346534653, ""1"": 0.0693069306930693, ""2"": 0.4653465346534653}, ""gain"": {""0.7"": 0.3899229211352445, ""0.85"": 0.2092338804002252, ""1.0"": 0.4008431984645303}, ""rotation_deg"": {""0.0"": 0.17005974431688597, ""8.0"": 0.829940255683114}, ""shift_probability"": 0.5, ""slip"": {""0.0"": 0.8921708498628403, ""0.2"": 0.10782915013715964}, ""source_action_split"": ""test"", ""source_condition_count"": 4, ""source_objects"": [""rope"", ""cloth""]}"
3,rope,cloth;soft_block,True,72,0.0015,1.0,4.0,3.0,0.47360197551877253,0.09529563403272065,0.15811388300841894,0.007578582832551987,0.0009484430105527501,"{""delay"": {""0"": 0.4653465346534653, ""1"": 0.0693069306930693, ""2"": 0.4653465346534653}, ""gain"": {""0.7"": 0.3899229211352445, ""0.85"": 0.2092338804002252, ""1.0"": 0.4008431984645303}, ""rotation_deg"": {""0.0"": 0.17005974431688597, ""8.0"": 0.829940255683114}, ""shift_probability"": 0.5, ""slip"": {""0.0"": 0.8921708498628403, ""0.2"": 0.10782915013715964}, ""source_action_split"": ""test"", ""source_condition_count"": 4, ""source_objects"": [""cloth"", ""soft_block""]}"
