case,cohort,anchor_accepted,released_phystwin.chamfer_distance_m,released_phystwin.track_error_m,selected_bayesian_anchor.chamfer_distance_m,selected_bayesian_anchor.track_error_m,model_average.chamfer_distance_m,model_average.track_error_m,model_average_anchor_guard.chamfer_distance_m,model_average_anchor_guard.track_error_m,last_residual.chamfer_distance_m,last_residual.track_error_m
double_lift_cloth_1,confirmation,False,0.006951045653557239,0.01438284523274443,0.006951045653557239,0.01438284523274443,0.006737108619328324,0.014271835473532592,0.006951045653557239,0.01438284523274443,0.006698252505134779,0.014242511200641572
double_lift_cloth_3,confirmation,True,0.012554311777802755,0.008971167886567887,0.011252460772112378,0.00879900112183508,0.011473455234439886,0.008413457202375872,0.011473455234439886,0.008413457202375872,0.011252129649190732,0.00881795462507581
double_lift_sloth,development,True,0.019588933060811154,0.02813274169514534,0.015942773646194553,0.022452592471074916,0.016255889194268864,0.023133999048508665,0.016255889194268864,0.023133999048508665,0.01593821755138789,0.022463433359351675
double_lift_zebra,confirmation,True,0.015266328313215536,0.03120281112995001,0.01439674025893147,0.02602456651573023,0.01453577964620684,0.026735916832484077,0.01453577964620684,0.026735916832484077,0.014213514932790914,0.025470471243539565
double_stretch_sloth,development,True,0.0059762211869463944,0.009753670436247091,0.004568442942560409,0.00830359798706078,0.004829973181294996,0.009060336641123552,0.004829973181294996,0.009060336641123552,0.004854001644899235,0.009053929904225788
double_stretch_zebra,confirmation,True,0.0063851803795326924,0.013080950637656507,0.005509728846266358,0.012217101944811104,0.005818969835440229,0.012189975949547405,0.005818969835440229,0.012189975949547405,0.006060214172461021,0.012387058955859644
rope_double_hand,confirmation,False,0.005095085751596595,0.014963664014680666,0.005095085751596595,0.014963664014680666,0.004445973369517233,0.012167147757400961,0.005095085751596595,0.014963664014680666,0.004520508405956071,0.012188686687575131
single_clift_cloth_1,confirmation,True,0.005248691614301362,0.010426523009187545,0.004989224666802899,0.010785222798503922,0.004648779357581567,0.010475418025568027,0.004648779357581567,0.010475418025568027,0.004581511785676198,0.011064890058817506
single_clift_cloth_3,confirmation,True,0.0042787352526218085,0.013651232506294726,0.004239448533911176,0.013666608987289693,0.004034687639020381,0.01417721326977685,0.004034687639020381,0.01417721326977685,0.003979038289641369,0.013951083064269053
single_lift_cloth,confirmation,True,0.021551340733428008,0.059716814672285026,0.018940542803098495,0.053113081015394796,0.018905433076893078,0.05326597063286109,0.018905433076893078,0.05326597063286109,0.018741118883846976,0.05327143020315938
single_lift_cloth_1,confirmation,True,0.022096795152490273,0.028611397015838383,0.01747788345267343,0.021873689827540604,0.01764698196514153,0.021933924964408134,0.01764698196514153,0.021933924964408134,0.017470838534878064,0.021862203474723618
single_lift_cloth_3,confirmation,True,0.01190483288577235,0.0426666496712793,0.010594837537912086,0.036645051682075984,0.010490532744014252,0.03635617693308241,0.010490532744014252,0.03635617693308241,0.010433234637772846,0.036291907638881904
single_lift_cloth_4,confirmation,True,0.012725481058079219,0.03397214088107595,0.009988606645849357,0.030940950136402082,0.009991137154340966,0.03108594021398941,0.009991137154340966,0.03108594021398941,0.010015829384570463,0.031114571947552613
single_lift_dinosor,confirmation,False,0.012468857879828084,0.01471160624191069,0.012468857879828084,0.01471160624191069,0.010776198683332593,0.013958873373791758,0.012468857879828084,0.01471160624191069,0.010750020044703155,0.013764475537971756
single_lift_rope,confirmation,True,0.010783053367805705,0.017072906473736434,0.010935994801028893,0.017664663688139483,0.01065071073048638,0.016137997147569486,0.01065071073048638,0.016137997147569486,0.010064229518167678,0.015549083438567628
single_lift_sloth,development,True,0.0178600324887817,0.024926414339721696,0.016709700379116697,0.020803910231029274,0.016670887163894976,0.02031276191096362,0.016670887163894976,0.02031276191096362,0.016462121152512017,0.020609661047033448
single_lift_zebra,confirmation,True,0.015450755271652728,0.02430380434973018,0.01431398562646751,0.019056323391018058,0.015283511627721963,0.019996956987073385,0.015283511627721963,0.019996956987073385,0.014281920632721944,0.019041133289515857
single_push_rope,confirmation,True,0.007095063838488238,0.015728441933293952,0.005489928272209029,0.01299651740400893,0.0054949186600752415,0.013095755670348064,0.0054949186600752415,0.013095755670348064,0.005411760471732695,0.0128735473497654
single_push_rope_1,confirmation,False,0.004339265023060416,0.006654728828171351,0.004339265023060416,0.006654728828171351,0.0037716133457097534,0.006585231139586824,0.004339265023060416,0.006654728828171351,0.003809659518631731,0.006361127200160257
single_push_rope_4,confirmation,True,0.003542650507619441,0.008121189009475066,0.0033141262996799125,0.008300561104466675,0.003302119639248157,0.008260636224706595,0.003302119639248157,0.008260636224706595,0.003328415055028451,0.008184258065311973
single_push_sloth,confirmation,True,0.013461644054661607,0.02112459716483006,0.010738073119410486,0.015567389898370572,0.010769799431148705,0.0156752054352845,0.010769799431148705,0.0156752054352845,0.010737070310953209,0.015555532352018524
weird_package,confirmation,True,0.02011943404692877,0.04223376040532321,0.01569800608183092,0.032578328749862696,0.015777135427710864,0.03257256414549751,0.015777135427710864,0.03257256414549751,0.015697851837714088,0.0325813580786391
