case,cohort,guard_score_m,guard_accepted,last_residual.chamfer_distance_m,last_residual.track_error_m,tempered_model_average.chamfer_distance_m,tempered_model_average.track_error_m,tempered_model_average_guard.chamfer_distance_m,tempered_model_average_guard.track_error_m
double_lift_cloth_1,confirmation,0.005344807157710323,False,0.006698252505134779,0.014242511200641572,0.006777704794041922,0.01417492617958283,0.006698252505134779,0.014242511200641572
double_lift_cloth_3,confirmation,0.009793197972647796,False,0.011252129649190732,0.00881795462507581,0.011509804708986765,0.008443293987198027,0.011252129649190732,0.00881795462507581
double_lift_sloth,development,0.008311159393113957,False,0.01593821755138789,0.022463433359351675,0.016471237703968373,0.022800458874379283,0.01593821755138789,0.022463433359351675
double_lift_zebra,confirmation,0.0062404412501954,False,0.014213514932790914,0.025470471243539565,0.014670985536746808,0.027438398218866518,0.014213514932790914,0.025470471243539565
double_stretch_sloth,development,0.004611348712376792,True,0.004854001644899235,0.009053929904225788,0.004784170389691505,0.008965947723372437,0.004784170389691505,0.008965947723372437
double_stretch_zebra,confirmation,0.008837323989113898,False,0.006060214172461021,0.012387058955859644,0.0058116012321792095,0.012228869344540294,0.006060214172461021,0.012387058955859644
rope_double_hand,confirmation,0.004956827452535123,False,0.004520508405956071,0.012188686687575131,0.004409359461588646,0.012161333919959886,0.004520508405956071,0.012188686687575131
single_clift_cloth_1,confirmation,0.003921805714764057,True,0.004581511785676198,0.011064890058817506,0.004707372429211991,0.010807522036085976,0.004707372429211991,0.010807522036085976
single_clift_cloth_3,confirmation,0.003475395197124173,True,0.003979038289641369,0.013951083064269053,0.004000574677212946,0.014392153049731978,0.004000574677212946,0.014392153049731978
single_lift_cloth,confirmation,0.035668731279581915,False,0.018741118883846976,0.05327143020315938,0.01897507486219431,0.05315531716391196,0.018741118883846976,0.05327143020315938
single_lift_cloth_1,confirmation,0.03338459535579684,False,0.017470838534878064,0.021862203474723618,0.017737055426717902,0.022122459999209688,0.017470838534878064,0.021862203474723618
single_lift_cloth_3,confirmation,0.009210427653227911,False,0.010433234637772846,0.036291907638881904,0.010557044502083236,0.0365065497871936,0.010433234637772846,0.036291907638881904
single_lift_cloth_4,confirmation,0.016004583086801884,False,0.010015829384570463,0.031114571947552613,0.010002782201600292,0.030927529799477636,0.010015829384570463,0.031114571947552613
single_lift_dinosor,confirmation,0.007450003307148735,False,0.010750020044703155,0.013764475537971756,0.010871519189734625,0.014208040128033608,0.010750020044703155,0.013764475537971756
single_lift_rope,confirmation,0.007610046102050697,False,0.010064229518167678,0.015549083438567628,0.01079875030150426,0.016370286304693546,0.010064229518167678,0.015549083438567628
single_lift_sloth,development,0.008288470016742966,False,0.016462121152512017,0.020609661047033448,0.016716411196277016,0.020671876591842206,0.016462121152512017,0.020609661047033448
single_lift_zebra,confirmation,0.006189700862617272,False,0.014281920632721944,0.019041133289515857,0.015200610105004925,0.01977838462908753,0.014281920632721944,0.019041133289515857
single_push_rope,confirmation,0.003884889494899424,True,0.005411760471732695,0.0128735473497654,0.005969612269953469,0.013233911383733026,0.005969612269953469,0.013233911383733026
single_push_rope_1,confirmation,0.0024426878833766364,True,0.003809659518631731,0.006361127200160257,0.003896687054861867,0.006573438737327588,0.003896687054861867,0.006573438737327588
single_push_rope_4,confirmation,0.0024599818323979956,True,0.003328415055028451,0.008184258065311973,0.003163494402786749,0.008309677576111781,0.003163494402786749,0.008309677576111781
single_push_sloth,confirmation,0.006060782414319449,False,0.010737070310953209,0.015555532352018524,0.010894122287560823,0.015747954603782303,0.010737070310953209,0.015555532352018524
weird_package,confirmation,0.031662821756089296,False,0.015697851837714088,0.0325813580786391,0.015554124041538104,0.03256230780189281,0.015697851837714088,0.0325813580786391
