take_id	archive_sha256	frame_limit	template_frame	active_frame_count
MemoryFoam_T2	e86442a9b25c5b0a26d4ee93b93e0e41283a0546a7861378330ad9923baae448	160	23	65
PlushVolleyball_T4	dadc6bf25392e0b52f13e66df28fbdf0aab8c70cc27d7c15c8a475b2085109e4	160	20	75
FoamHalfSphere_T3	c6eb6b30b0eabb24ceceed3405f64de7f42c9eb38d59f2fb4cdb3bb3b5780098	154	21	111
3dPrintedBunny_T1	456de19706ede3775e379da7828bcb09c393a6d75caf57357d6bbf6763a831cf	149	1	84
3dPrintedPyramid_T6	1d24b0c19db93f038c26f6ff4933a242ccf7b93e6571d9d00af85b4620320850	160	1	64
FoamDice_T3	be19c0224715d20ef1e7008e2b1fd607d067ec600422155eaf6d32eee8b2fe4d	150	20	99
PlushMoon_T1	b872438b282833d12aa39180e14e011c30fc5700bb5b3a80514729dbee18e32c	159	22	79
PlushOctopus_T6	5c19b96ddfcf03b8182b66d4e731707b3802fba4b73ecf853ca9dc9bad334d02	155	1	73
PlushDice_T8	8951d110fb8ae4993aa64be2ce71597bab57e97e23d7a1df0050a92698e3d8e0	160	1	93
PlushTurtle_T3	f5a75ba21f0cb1ab62d41b17a605d870bcfc88a9ee4ed301c060458f6a253861	155	1	56
Beanbag_T6	5bc5135e326bfb76b332dba6a3eb251a60ad5cf97189eec3d636fbd8c7759f46	155	23	60
FoamCylinder_T1	73880491b24004a7b4525ea13bf5d13d5d0df80dd4515d4c561fc99dbb7dee2f	150	1	60
ToiletPaperRoll_T1	cb2e39f4f6c6b96a7d57941651b139d6cf7e1eb0bfb8ded2d0e6c1c5b0e42b2c	150	1	87
