method,requested_count,count,directly_retained_probability_mass,represented_probability_mass,prior_effective_support,posterior_joint_effective_support,posterior_parameter_effective_support,parameter_mean_error_l2,parameter_covariance_error_frobenius,predictive_mean_rmse_vs_full_m,predictive_variance_relative_l2_vs_full,label_free_stable_vs_full,coordinate_rmse_m,track_error_m,coverage,nees,gaussian_nll,gaussian_energy_score_m,mean_interval_width_m,early_coverage,middle_coverage,late_coverage,runtime_seconds
top_mass,4,4,0.4233325482695451,0.4233325482695451,3.7918758483018853,27.969193579265426,3.8543112293107105,0.03158043502310137,0.1696621795558714,0.0014352005727952563,0.07893979526200412,False,0.022259611730131468,0.03169378154962548,0.5058833209907019,7.22733044185646,-0.3436806276032118,0.026092445237093954,0.028671311661417242,0.6041343919442292,0.48063520921135994,0.4468046704707957,0.18436702201142907
top_mass,8,8,0.6525663262818826,0.6525663262818826,7.034670420540895,47.50849600461925,6.619644167797282,0.033003210251723585,0.16027357403688303,0.0011290261688295879,0.05809090453781756,False,0.021980272974245055,0.03136028973472636,0.5101524193977763,6.708520677352722,-0.595222821099901,0.02569956009263857,0.028939365791790343,0.6096210947585851,0.48628212544417815,0.44863731656184486,0.2538784071803093
top_mass,16,16,0.8929707195381498,0.8929707195381498,11.525291523086285,73.66628980127469,10.384155095381276,0.004745556685236206,0.05926264133969465,0.000512067567698635,0.03583489827883008,False,0.021922420681800073,0.03121606198062746,0.5288744972192777,6.2765605714137225,-0.7779827864182604,0.02547899309341806,0.02981154623460604,0.6192550994061451,0.5019144423325896,0.4782928623988227,0.43014635192230344
top_mass,32,32,0.9900484244338579,0.9900484244338579,14.019728075523995,91.75487446097152,12.94833961875577,0.0011689443191222708,0.010115397627488306,5.008503409237509e-05,0.004162938092293504,True,0.021678571547674684,0.03082926021346467,0.5484000561468725,5.718926663024895,-1.0220768982705697,0.024981952726528766,0.03078873574928955,0.6368448231345211,0.5254524419469465,0.49543921029613897,0.7561192791908979
top_mass,81,81,1.0,1.0,14.301651320841255,93.52961026603268,13.198887669718479,0.0,0.0,0.0,0.0,True,0.021656188415770217,0.030792357758773408,0.5504571613883766,5.663537314784973,-1.0461387088330623,0.024932792069348286,0.030896748293864698,0.6389426800929512,0.528014213701347,0.4969525316895053,1.736893487162888
weighted_coreset,4,4,0.3550510704720645,1.0,3.3231636735847228,22.379366853487724,3.0567510324767944,0.07386141351235184,0.11641758412993382,0.002159311787060777,0.09417265164868915,False,0.023036840105886948,0.03264018467400702,0.4988068789599276,8.316533063227318,0.19738986083196103,0.027045590774922842,0.028549648657139548,0.596565969532662,0.4712145001790486,0.4425146125758396,0.16967765567824244
weighted_coreset,8,8,0.5535065409793753,1.0,6.464457508921395,44.21488478892143,6.201546391604596,0.03804017091288892,0.0786634962343098,0.0007083213606797564,0.04388064947830925,False,0.022009960044235864,0.03134844302304638,0.5220594285603651,6.474907905848304,-0.6901748069120611,0.02564116714727332,0.029499529297911935,0.6153014459075652,0.4957716993085971,0.4683382620406237,0.2646989868953824
weighted_coreset,16,16,0.8929707195381498,1.0,12.882786048194689,77.16848444977641,10.935630469353896,0.0023340326195746535,0.04159824047244964,0.0003958105412507601,0.03246227259039418,True,0.021867987019134297,0.031139274111873436,0.5318609300051791,6.2017992522866825,-0.8115765911051648,0.025396652000402954,0.029922284382914624,0.621369093725794,0.5047792193482632,0.4821525261360323,0.43961633602157235
weighted_coreset,32,32,0.9892382090202345,1.0,14.276385256528194,93.18602109212111,13.152302030802648,0.0006034480961617645,0.00723290372255704,1.5280083665031384e-05,0.0018613966518229504,True,0.021662717837429925,0.03080314268508133,0.5498666511778743,5.684150210334729,-1.0370324673406603,0.024948560452631743,0.03086044550664652,0.6382003614768913,0.5273117924138501,0.4966054396268066,0.7589049213565886
weighted_coreset,81,81,1.0,1.0,14.301651320841255,93.52961026603268,13.198887669718479,0.0,0.0,0.0,0.0,True,0.021656188415770217,0.030792357758773408,0.5504571613883766,5.663537314784973,-1.0461387088330623,0.024932792069348286,0.030896748293864698,0.6389426800929512,0.528014213701347,0.4969525316895053,1.697618457954377
